                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.1364,                0.65785,                 1.1044,                0.94907,                0.96815,                0.98317,                0.63314,                 1.3204,                0.51081,                 1.1961,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.1445,                0.65156,                 1.1128,                0.97061,                0.96014,                0.98333,                0.63223,                  1.301,                0.51859,                 1.1804,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.1227,                0.64272,                 1.0958,                 0.9749,                0.97367,                0.98656,                0.64205,                  1.288,                0.49632,                 1.1715,               0.000467,               0.000467,               0.000467
                     70,                 1.1213,                0.63779,                 1.1009,                 0.9747,                0.98337,                0.98855,                0.64413,                 1.2921,                0.49153,                 1.1748,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.1144,                0.63608,                 1.0897,                0.97048,                0.97236,                0.98729,                 0.6424,                 1.3071,                 0.4864,                 1.1806,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.1125,                0.62429,                 1.0894,                0.97649,                0.97222,                0.98839,                0.63885,                 1.3042,                0.49831,                 1.1779,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.0948,                0.61439,                 1.0857,                0.97064,                0.95982,                0.98587,                0.64797,                 1.2846,                0.48811,                 1.1745,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.0972,                0.62413,                 1.0855,                0.97499,                0.97155,                0.98372,                0.63651,                 1.3008,                0.49629,                 1.1823,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.1055,                0.62608,                 1.0851,                0.96885,                0.96438,                0.97897,                0.64087,                 1.2744,                0.49218,                 1.1703,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.0765,                0.60721,                 1.0718,                0.95461,                0.97736,                0.98411,                 0.6381,                 1.3001,                0.48882,                 1.1774,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.0784,                0.61122,                 1.0735,                0.96744,                 0.9659,                0.98347,                0.63563,                 1.3057,                0.48528,                 1.1727,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.0845,                0.60184,                 1.0774,                0.97209,                0.96355,                0.98315,                0.64031,                 1.3152,                 0.4952,                  1.183,             0.00033967,             0.00033967,             0.00033967
                     79,                  1.083,                 0.5976,                   1.08,                 0.9684,                0.96961,                0.98525,                0.63978,                 1.3048,                0.49352,                 1.1796,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.0652,                0.59631,                 1.0747,                0.96747,                 0.9789,                0.98528,                 0.6499,                 1.2938,                0.48893,                 1.1724,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.0604,                0.60051,                 1.0617,                0.97243,                0.96632,                0.98422,                0.64695,                 1.2934,                0.48832,                 1.1763,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.0616,                0.59742,                 1.0695,                0.97676,                0.97569,                0.98725,                0.64464,                 1.2898,                0.48309,                 1.1733,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.0584,                0.59421,                 1.0651,                0.97091,                0.97344,                0.98605,                   0.65,                 1.2979,                0.48724,                 1.1774,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.0531,                0.59083,                 1.0654,                0.96627,                0.97075,                0.98741,                0.64795,                 1.3053,                 0.4875,                 1.1807,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.0426,                 0.5801,                 1.0578,                0.96424,                 0.9788,                0.98764,                0.65824,                  1.273,                0.47449,                 1.1679,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.0403,                0.58173,                 1.0596,                0.96489,                0.97147,                 0.9866,                0.64779,                 1.2827,                0.47854,                  1.176,              0.0002265,              0.0002265,              0.0002265
